timestamp,j1,j2,j3,j4,j5,j6,x,y,z,alpha,beta,gamma
411274656.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95199,16.03557,218.81831,174.90265,0.0,2.0
411284989.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95199,16.03557,218.81831,174.90265,0.0,2.0
411295369.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95199,16.03557,218.81831,174.90265,0.0,2.0
411305702.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95199,16.03557,218.81831,174.90265,0.0,2.0
411316035.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95199,16.03557,218.81831,174.90265,0.0,2.0
411326368.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95199,16.03557,218.81831,174.90265,0.0,2.0
411336701.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95199,16.03557,218.81831,174.90265,0.0,2.0
411347034.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95199,16.03557,218.81831,174.90265,0.0,2.0
411357414.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95199,16.03557,218.81831,174.90265,0.0,2.0
411367747.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95199,16.03557,218.81831,174.90265,0.0,2.0
411378080.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95199,16.03557,218.81831,174.90265,0.0,2.0
411388413.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95199,16.03557,218.81831,174.90265,0.0,2.0
411398746.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95199,16.03557,218.81831,174.90265,0.0,2.0
411409080.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95199,16.03557,218.81831,174.90265,0.0,2.0
411419459.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95199,16.03557,218.81831,174.90265,0.0,2.0
411429792.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95199,16.03557,218.81831,174.90265,0.0,2.0
411440125.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95199,16.03557,218.81831,174.90265,0.0,2.0
411450458.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95199,16.03557,218.81831,174.90265,0.0,2.0
411460792.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95199,16.03557,218.81831,174.90265,0.0,2.0
411471171.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95199,16.03557,218.81831,174.90265,0.0,2.0
411481504.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95199,16.03557,218.81831,174.90265,0.0,2.0
411491837.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95199,16.03557,218.81831,174.90265,0.0,2.0
411502170.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95199,16.03557,218.81831,174.90265,0.0,2.0
411512504.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95075,16.18497,218.81607,174.84338,0.0,2.0
411522837.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95075,16.18497,218.81607,174.84338,0.0,2.0
411533216.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95075,16.18497,218.81607,174.84338,0.0,2.0
411543549.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95075,16.18497,218.81607,174.84338,0.0,2.0
411553882.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95075,16.18497,218.81607,174.84338,0.0,2.0
411564216.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95075,16.18497,218.81607,174.84338,0.0,2.0
411574549.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95075,16.18497,218.81607,174.84338,0.0,2.0
411584928.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95075,16.18497,218.81607,174.84338,0.0,2.0
411595261.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95075,16.18497,218.81607,174.84338,0.0,2.0
411605594.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95075,16.18497,218.81607,174.84338,0.0,2.0
411615928.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95075,16.18497,218.81607,174.84338,0.0,2.0
411626261.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95075,16.18497,218.81607,174.84338,0.0,2.0
411636594.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95075,16.18497,218.81607,174.84338,0.0,2.0
411646973.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95075,16.18497,218.81607,174.84338,0.0,2.0
411657306.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95075,16.18497,218.81607,174.84338,0.0,2.0
411667640.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95075,16.18497,218.81607,174.84338,0.0,2.0
411677973.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95075,16.18497,218.81607,174.84338,0.0,2.0
411688306.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95075,16.18497,218.81607,174.84338,0.0,2.0
411698685.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95075,16.18497,218.81607,174.84338,0.0,2.0
411709018.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95075,16.18497,218.81607,174.84338,0.0,2.0
411719352.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95075,16.18497,218.81607,174.84338,0.0,2.0
411729685.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95075,16.18497,218.81607,174.84338,0.0,2.0
411740018.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95075,16.18497,218.81607,174.84338,0.0,2.0
411750351.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95075,16.18497,218.81607,174.84338,0.0,2.0
411760730.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95075,16.18497,218.81607,174.84338,0.0,2.0
411771064.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95075,16.18497,218.81607,174.84338,0.0,2.0
411781397.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95075,16.18497,218.81607,174.84338,0.0,2.0
